source_url,question,answer
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Sociology program at USSH in 2023-2024?,20 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Linguistics program at USSH in 2023-2024?,20 million VND per year in 2023-2024
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,Which decision issued the VNU undergraduate training regulations in 2022?,Decision No. 3626/QD-DHQGHN
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,When was Decision No. 3626/QD-DHQGHN issued?,21 October 2022
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,What does the VNU undergraduate training regulation govern?,Programs organization academic activities student assessment and graduation recognition
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,How many main semesters are included in one academic year at VNU?,Two main semesters
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,How many supplementary semesters are included in one academic year at VNU?,One supplementary semester
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,How many study weeks are included in a main semester at VNU?,15 study weeks
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,How many exam weeks are included in a main semester at VNU?,3 to 4 exam weeks
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,How many study weeks are included in a supplementary semester at VNU?,At least 5 study weeks
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,How many exam weeks are included in a supplementary semester at VNU?,1 exam week
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,What is the standard duration of bachelor programs at VNU?,8 main semesters
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,What is the standard duration of engineering programs at VNU?,9 to 10 main semesters
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,What is the standard duration of pharmacy programs at VNU?,10 main semesters
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,What is the standard duration of medical doctor programs at VNU?,12 main semesters
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What is the minimum number of credits required for the first major in a dual-major program at VNU?,120 credits
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What is the minimum number of credits required for the second major in a dual-major program at VNU?,30 credits
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What is the minimum number of credits required for an international-standard training program at VNU compared with the standard program?,At least 15 additional credits
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What is the minimum credit requirement for a standard undergraduate curriculum at VNU?,120 credits
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,How many additional credits can be added for a major-minor training model at VNU?,15 to 29 additional credits
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What type of semester is optional for students at VNU?,Supplementary semester
https://uet.vnu.edu.vn/wp-content/uploads/2019/07/S%E1%BB%95-tay-h%E1%BB%8Dc-v%E1%BB%A5-2019.pdf,Who determines the minimum and maximum credit load for students under academic warning at UET?,The faculty and training office
https://uet.vnu.edu.vn/wp-content/uploads/2019/07/S%E1%BB%95-tay-h%E1%BB%8Dc-v%E1%BB%A5-2019.pdf,Can students register for fewer credits than the minimum requirement with approval?,Yes
https://uet.vnu.edu.vn/wp-content/uploads/2019/07/S%E1%BB%95-tay-h%E1%BB%8Dc-v%E1%BB%A5-2019.pdf,What academic system does UET apply for undergraduate education?,Credit-based system
https://uet.vnu.edu.vn/wp-content/uploads/2019/07/S%E1%BB%95-tay-h%E1%BB%8Dc-v%E1%BB%A5-2019.pdf,What document does UET provide to students at the beginning of a course?,Training curriculum
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,Does the VNU undergraduate training regulation apply to both regular and part-time education?,Yes
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,What student activity is included in the VNU undergraduate training regulation?,Scientific research activities
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,Which student support role is included in the VNU undergraduate training regulation?,Academic advisor
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,What student evaluation activities are regulated by VNU undergraduate regulations?,Testing exams and learning assessment
https://uet-test.uet.edu.vn/quy-che-dao-tao-dai-hoc-tai-dhqghn/,What graduation-related activity is regulated by the VNU undergraduate regulations?,Graduation recognition
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,Which form of education has a study duration at least 20 percent longer than regular programs?,Part-time education
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,When must VNU training units publicly announce training information before organizing programs?,At least 45 days in advance
https://fos.ussh.vnu.edu.vn/vi/laws/detail/Quy-che-dao-tao-dai-hoc-tai-Dai-hoc-Quoc-gia-Ha-Noi-Ap-dung-tu-khoa-QH-2022-X-5/?download=1&id=0,What type of student records must be permanently archived at VNU?,Graduation decisions and original degree supplements
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,Can international joint programs at VNU be jointly awarded with foreign institutions?,Yes
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,Does the VNU undergraduate regulation govern foreign-issued international programs?,No
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What educational model allows students to study both a main major and a minor at VNU?,Major-minor training model
https://uet.vnu.edu.vn/quy-che-dao-tao-dai-hoc-cua-dai-hoc-quoc-gia-ha-noi-theo-quyet-dinh-5115qd-dhqghn/,What educational model allows students to study two majors simultaneously at VNU?,Dual-major training model
https://tuyensinh.uet.vnu.edu.vn/wp-content/images/Thong-tin-tuyen-sinh-DHCQ-nam-2025-QHI.pdf,How many admission methods did UET plan to use in 2025?,4 admission methods
https://tuyensinh.uet.vnu.edu.vn/wp-content/images/Thong-tin-tuyen-sinh-DHCQ-nam-2025-QHI.pdf,What admission methods were used by UET in 2025?,High school graduation exam scores; HSA competency assessment scores; SAT scores; direct admission and priority admission
https://tuyensinh.uet.vnu.edu.vn/wp-content/images/Thong-tin-tuyen-sinh-DHCQ-nam-2025-QHI.pdf,Which admission combination is commonly used for UET engineering and technology majors?,A00; A01; X06
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,What subjects are included in the A00 admission combination at UET?,Mathematics; Physics; Chemistry
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,What subjects are included in the A01 admission combination at UET?,Mathematics; Physics; English
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,What subjects are included in the X06 admission combination at UET?,Mathematics; Physics; Informatics
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,Which UET majors additionally use the A02 combination?,Biotechnology; Agricultural Technology
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html,What subjects are included in the A02 admission combination?,Mathematics; Physics; Biology
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Information Technology at UET in 2025?,28.19 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Computer Science at UET in 2025?,27.86 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Artificial Intelligence at UET in 2025?,27.85 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Control and Automation Engineering at UET in 2025?,27.90 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Aerospace Engineering at UET in 2025?,23.96 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Agricultural Technology at UET in 2025?,22.00 points
https://tuyensinh.uet.vnu.edu.vn/ban-nen-biet/thong-bao-xet-tuyen-thang-uu-tien-xet-tuyen-xet-tuyen-theo-hsa-sat-va-thu-nhan-chung-chi-tieng-anh-quoc-te-de-quy-doi-cong-diem-trong-xet-tuyen-vao-dai-hoc-chinh-quy-nam-2025-tai-truong-dai-hoc-con/,What IELTS score can be converted into English scores for admission at UET in 2025?,IELTS Academic 5.5 or higher
https://tuyensinh.uet.vnu.edu.vn/ban-nen-biet/thong-bao-xet-tuyen-thang-uu-tien-xet-tuyen-xet-tuyen-theo-hsa-sat-va-thu-nhan-chung-chi-tieng-anh-quoc-te-de-quy-doi-cong-diem-trong-xet-tuyen-vao-dai-hoc-chinh-quy-nam-2025-tai-truong-dai-hoc-con/,What TOEFL iBT score was accepted for English score conversion at UET in 2025?,72 or higher
https://xaydungchinhsach.chinhphu.vn/tuyen-sinh-2025-phuong-thuc-to-hop-chi-tieu-tuyen-sinh-cua-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-119250605164343934.htm,Which new admission combinations were added by USSH in 2025?,C03; C04
https://xaydungchinhsach.chinhphu.vn/tuyen-sinh-2025-phuong-thuc-to-hop-chi-tieu-tuyen-sinh-cua-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-119250605164343934.htm,What subjects are included in the C03 combination at USSH?,Mathematics; Literature; History
https://xaydungchinhsach.chinhphu.vn/tuyen-sinh-2025-phuong-thuc-to-hop-chi-tieu-tuyen-sinh-cua-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-119250605164343934.htm,What subjects are included in the C04 combination at USSH?,Mathematics; Literature; Geography
https://xaydungchinhsach.chinhphu.vn/tuyen-sinh-2025-phuong-thuc-to-hop-chi-tieu-tuyen-sinh-cua-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dhqghn-119250605164343934.htm,Which USSH majors additionally accepted the C00 combination in 2025?,Journalism; Public Relations; Psychology; International Studies; Sociology; Hotel Management
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html,Which USSH major specializes in Journalism?,Journalism
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html,Which USSH major specializes in Public Relations?,Public Relations
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html,Which USSH major specializes in Korean Studies?,Korean Studies
https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html,Which USSH major specializes in Tourism and Travel Service Management?,Tourism and Travel Service Management
https://tuyensinh.uet.vnu.edu.vn/wp-content/images/Thong-tin-tuyen-sinh-DHCQ-nam-2025-QHI.pdf,Does UET use SAT scores for undergraduate admission in 2025?,Yes
https://tuyensinh.uet.vnu.edu.vn/wp-content/images/Thong-tin-tuyen-sinh-DHCQ-nam-2025-QHI.pdf,Does UET use HSA competency assessment scores for undergraduate admission in 2025?,Yes
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,Which UET major had a 2025 admission score of 28.19 points?,Information Technology
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,Which UET major had a 2025 admission score of 27.86 points?,Computer Science
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,Which UET major had a 2025 admission score of 27.75 points?,Artificial Intelligence
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Data Science at UET in 2025?,27.38 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Computer Engineering at UET in 2025?,27.00 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Information Systems at UET in 2025?,26.38 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Electronics and Telecommunications Engineering Technology at UET in 2025?,26.73 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Robotics Engineering at UET in 2025?,26.00 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Energy Engineering at UET in 2025?,24.87 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Engineering Physics at UET in 2025?,25.20 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,What was the admission score for Construction Engineering at UET in 2025?,22.25 points
https://tuyensinh.uet.vnu.edu.vn/uncategorized/thong-bao-diem-trung-tuyen-dai-hoc-chinh-quy-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2025/,Which UET major had a 2025 admission score of 22.00 points?,Agricultural Technology
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Information Technology at UET?,27.8 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Artificial Intelligence at UET?,27.12 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Computer Science at UET?,27.58 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Computer Engineering at UET?,26.97 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Information Systems at UET?,26.87 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Robotics Engineering at UET?,25.99 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Aerospace Engineering at UET?,24.61 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the 2024 admission score for Agricultural Technology at UET?,22.50 points
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,Which UET major had the highest 2024 admission score?,Information Technology had the highest 2024 admission score with 27.8 points.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,Which UET major had a 2024 admission score of 27.12 points?,Artificial Intelligence had a 2024 admission score of 27.12 points.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,Did Artificial Intelligence or Computer Science have a higher 2024 admission score at UET?,Computer Science had a higher score with 27.58 points compared to Artificial Intelligence with 27.12 points.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What was the difference between the 2024 admission scores for Information Technology and Artificial Intelligence at UET?,The difference was 0.68 points.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN1 represent at UET?,CN1 represents Information Technology.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN2 represent at UET?,CN2 represents Computer Engineering.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN3 represent at UET?,CN3 represents Engineering Physics.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN4 represent at UET?,CN4 represents Mechanical Engineering.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN5 represent at UET?,CN5 represents Construction Engineering Technology.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN6 represent at UET?,CN6 represents Mechatronics Engineering Technology.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN7 represent at UET?,CN7 represents Aerospace Engineering.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN8 represent at UET?,CN8 represents Computer Science.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN9 represent at UET?,CN9 represents Electronics and Telecommunications Engineering Technology.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN10 represent at UET?,CN10 represents Agricultural Technology.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN11 represent at UET?,CN11 represents Control and Automation Engineering.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN12 represent at UET?,CN12 represents Artificial Intelligence.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN13 represent at UET?,CN13 represents Energy Engineering.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN14 represent at UET?,CN14 represents Information Systems.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN15 represent at UET?,CN15 represents Computer Networks and Data Communications.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN17 represent at UET?,CN17 represents Robotics Engineering.
https://tuyensinh.uet.vnu.edu.vn/tin-tuyen-sinh/thong-bao-diem-trung-tuyen-vao-truong-dai-hoc-cong-nghe-dhqghn-nam-2024-theo-phuong-thuc-thpt/,What major does the admission code CN18 represent at UET?,CN18 represents Industrial Design and Graphics.
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for English Language at ULIS in 2025?,795 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Russian Language at ULIS in 2025?,70 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for French Language at ULIS in 2025?,150 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Chinese Language at ULIS in 2025?,300 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for German Language at ULIS in 2025?,120 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Japanese Language at ULIS in 2025?,300 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Korean Language at ULIS in 2025?,280 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Arabic Language at ULIS in 2025?,60 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Transnational Culture and Communication at ULIS in 2025?,50 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,What was the admission quota for Vietnamese Language and Vietnamese Culture at ULIS in 2025?,50 quotas
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS major had the largest admission quota in 2025?,English Language had the largest admission quota with 795 quotas.
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS major had an admission quota of 300 in 2025?,Chinese Language and Japanese Language each had 300 quotas.
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS major had the smallest admission quota in 2025?,Transnational Culture and Communication and Vietnamese Language and Vietnamese Culture had the smallest quotas with 50 quotas each.
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for English Language at ULIS?,D01
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for Russian Language at ULIS?,D02
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for French Language at ULIS?,D03
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for Chinese Language at ULIS?,D04
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for German Language at ULIS?,D05
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for Japanese Language at ULIS?,D06
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is used for Korean Language at ULIS?,DD2
https://ulis.vnu.edu.vn/tbtsdh2025/,Which admission combination is commonly used for Arabic Language at ULIS?,D01
https://ulis.vnu.edu.vn/tbtsdh2025/,What does the school code QHF represent?,QHF is the school code for ULIS.
https://ulis.vnu.edu.vn/tbtsdh2025/,What admission method code corresponds to high school graduation exam results at ULIS?,100
https://ulis.vnu.edu.vn/tbtsdh2025/,What admission method code corresponds to VNU competency assessment admission at ULIS?,401
https://ulis.vnu.edu.vn/tbtsdh2025/,What admission method code corresponds to combined admission using international certificates at ULIS?,409
https://ulis.vnu.edu.vn/tbtsdh2025/,How many undergraduate majors did ULIS announce for admission in 2025?,ULIS announced 14 undergraduate majors for admission in 2025.
https://ulis.vnu.edu.vn/kqtsdh24/,What was the admission score for English Language at ULIS in 2024?,36.99 points
